Qty,Designator,Footprint,Comment,LCSC Part #,Description,Device
1,C4,C0603,0.1uF,C14663,"CAPACITOR, European symbol",C-EUC0603
1,J1,FCI_10118193-0001LF,10118193-0001LF,C132562,Micro USB B Type Receptacle,10118193-0001LF
2,"R2, R3",603,10k,C25804,10kΩ resistor,10KOHM-0603-1/10W-1%
2,"C1, C5",C0603,10uF,C18800,"CAPACITOR, European symbol",C-EUC0603
5,"R1, R4, R5, R6, R11",603,1k,C21190,10kΩ resistor,10KOHM-0603-1/10W-1%
5,"GPIO0_LED, PWR_LED, RESET_LED, RX_LED, TX_LED",CHIP-LED0603,20mA,C2290,LED,LEDCHIP-LED0603
1,REG,NCP718BSN330T1G,3v3 LDO,C587158,,NCP718BSN330T1G
1,U1,QFN50P400X400X80-25N,CP2104-F03-GM,C430013,Silabs CP2104 USB to UART Bridge,CP2104-F03-GM
2,"Q2, Q3",ON_SEMICONDUCTOR_BC849BLT1G_0,ON_SEMICONDUCTOR_BC849BLT1GON_SEMICONDUCTOR_BC849BLT1G_0_0,C2146,ONSC-NPN-B1E2C3-3,ON_SEMICONDUCTOR_BC849BLT1GON_SEMICONDUCTOR_BC849BLT1G_0_0
